f_kabupaten_id;f_kodekabupaten;f_namakabupaten;f_propinsi_id;f_komputer;f_username
787;6;Munte;10;Akademik;282240
788;11;Bontang;13;Akademik;282240
789;77;Bintang Meriah, Karo;7;Akademik;282240
790;78;Makale;7;Akademik;282240
791;52;Baturusa;8;Akademik;282240
792;53;Batu Sangkar;8;Akademik;282240
793;69;Pringsewu;3;Akademik;282240
794;79;Sibolangit;7;Akademik;282240
795;60;Silau Malela;11;Akademik;282240
796;41;Lirik;9;Akademik;282240
797;10;Onowaembo;21;Akademik;282240
798;3;Manna;26;Akademik;282240
799;66;Balusu;19;Akademik;282240
800;61;Cibaru;2;Akademik;282240
801;62;Plumbon;2;Akademik;282240
802;54;Sidenreng Rappang;8;Akademik;282240
803;55;Loka;8;Akademik;282240
804;27;Lhokseumawe;6;debrina;288632
805;41;Terbanggi Ilir;12;Akademik;282240
806;61;Tanjung Menang Musi;11;Yunus-PC;183309
807;63;Marga Cinta;2;Akademik;282240
808;80;Pauh;7;Akademik;282240
809;6;Murung Pudak;16;Akademik;282240
810;2;Biak;25;Akademik;282240
811;56;Andaleh;8;Akademik;282240
812;7;Pematang Sapat;10;Akademik;282240
813;10;Besu;20;Akademik;282240
814;81;Partibi Lama;7;Akademik;282240
815;42;Belimbingsari;12;Akademik;282240
816;67;Palita;19;Akademik;282240
817;57;Pematangsiantar;8;Akademik;282240
818;58;Pangkalpinang;8;Akademik;282240
819;8;Teluk Nilau;10;Akademik;282240
820;15;Selong;33;Akademik;282240
821;42;K. Pinang;9;Akademik;282240
822;62;Tani Makmur;11;Akademik;282240
823;62;Parsorminan;7;Akademik;282240
824;38;Pomalaa;17;Akademik;282240
825;82;Partibilama;7;admin;282240
826;12;Leppangeng;21;admin;282240
827;1;Padaherang;34;admin;282240
828;43;Air Balui;12;admin;282240
829;44;Margoyoso;12;admin;282240
830;45;Rukti Endah;12;admin;282240
831;46;Sumber Asri;12;admin;282240
832;15;Kaili;16;DESKTOP-U7V8A28;8669
833;43;Teguhan;9;admin;282240
834;68;Kalimporo;19;admin;282240
835;69;Mapane;19;admin;282240
