f_kabupaten_id;f_kodekabupaten;f_namakabupaten;f_propinsi_id;f_komputer;f_username;f_tanggalupdate
554;3;Karang Negara;9;administrator;282240;10:07.3
555;4;Sapat;9;administrator;282240;35:55.5
556;12;Palopo;19;administrator;282240;48:03.0
557;12;Dolok Sanggul;7;administrator;282240;55:13.5
558;13;Rantau Prapat;7;administrator;282240;54:42.5
1850;162;Hutagaol;7;debrina;288632;36:02.7
560;4;Samakurok;6;administrator;282240;15:43.9
752;67;Pangebatan;3;Akademik;282240;19:02.6
561;14;Pardamuan Motung;7;administrator;282240;58:32.9
562;5;Ranteangin;20;administrator;282240;58:52.3
563;6;Lajoa;20;administrator;282240;59:02.6
564;7;Tanrutedong;20;administrator;282240;59:21.5
565;8;Bajo;20;administrator;282240;59:34.3
1851;42;Pelajau;26;debrina;288632;53:53.9
1852;98;Gamsungi;21;debrina;288632;44:44.9
1853;99;Halmahera Barat;21;debrina;288632;47:43.1
1854;163;Samosir;7;debrina;288632;43:28.2
570;4;Saparua;21;administrator;282240;01:10.8
571;1;Masumeze;24;administrator;282240;01:33.2
572;4;Nunukan;16;administrator;282240;01:56.8
573;13;Pompanua;19;administrator;282240;45:58.7
574;14;Sumatra;19;administrator;282240;46:13.4
575;15;Mario;19;administrator;282240;46:29.5
576;9;singkut;8;Akademik;282240;46:45.0
577;58;Rantai Damai;19;nakum;282240;19:35.6
578;51;Pulau Panggung;11;nakum;282240;20:32.4
579;52;Kotamobagu;11;nakum;282240;21:05.6
580;1;Nabire;25;nakum;282240;21:50.9
581;5;Balinggi;17;Akademik;282240;13:32.2
582;6;Kotamobagu;17;Akademik;282240;14:22.4
1512;91;P.Sidimpuan;7;ISTNAKADEMIK-PC;105;54:56.1
585;16;Langsa;7;Akademik;282240;15:22.0
586;17;Aekunsim;7;Akademik;282240;48:46.0
587;18;Sibabangun;7;mansur;282240;46:20.2
588;5;Labuan;2;Akademik;282240;50:30.4
589;4;Tumahe;13;Akademik;282240;17:23.1
590;4;Muarabulian;11;Akademik;282240;48:00.4
1856;10;Sukarame;12;debrina;288632;04:42.7
592;19;Tarung-Tarung;7;Akademik;282240;14:08.5
593;9;Koto Tangah;20;Akademik;282240;23:03.4
594;5;Tanjung Pura;9;Akademik;282240;42:00.8
595;5;Jungkat;13;mansur;282240;16:09.8
596;5;Rohomoni;21;mansur;282240;16:39.4
597;22;Pardomuan Motong;7;Akademik;282240;27:57.1
598;6;Torganda;9;Akademik;282240;44:40.2
599;6;Pamanukan;2;Akademik;282240;28:19.4
600;16;Soe;19;Akademik;282240;01:33.5
601;24;Tamayang;11;Akademik;282240;32:23.7
602;23;Pagur;7;Akademik;282240;06:27.5
603;10;Pakan Senayan;8;Akademik;282240;22:54.6
604;24;Cubadak;7;Akademik;282240;54:06.3
605;7;Rantepao;17;Akademik;282240;15:00.1
606;8;Lewoleba;17;Akademik;282240;44:39.0
607;9;Tompoh;17;Akademik;282240;31:34.2
608;10;Parilangke;17;Akademik;282240;46:55.4
609;7;Gedung Wani;2;Akademik;282240;47:41.4
610;8;Bangil;5;Akademik;282240;16:48.3
272;11;Tanjungkarang;12;debrina;288632;04:55.5
612;11;Tanjung Enim;8;Akademik;282240;44:47.7
613;12;Rumbai;8;Akademik;282240;59:12.3
614;7;Kabupaten Semarang;3;Akademik;282240;04:11.4
615;6;Banjar Baru;13;Akademik;282240;09:03.2
616;11;Plaju;12;Akademik;282240;24:28.2
617;2;Bintuhan;26;Akademik;282240;53:01.5
